#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AtpA	rpl17	295358.mhp477	295358.mhp214	0.137	0	0	0	0.484	0.129	0	0	0.578
AtpA	tig	295358.mhp477	295358.mhp233	0.081	0	0	0	0.382	0	0	0	0.407
AtpA	IctD	295358.mhp477	295358.mhp245	0.110	0	0	0	0.421	0.207	0	0	0.555
AtpA	pdhB	295358.mhp477	295358.mhp264	0.062	0	0	0	0.349	0.234	0	0	0.491
AtpA	rpsF	295358.mhp477	295358.mhp307	0.079	0	0	0	0.375	0.126	0	0	0.452
AtpA	rplA	295358.mhp477	295358.mhp458	0.064	0	0	0	0.297	0.331	0	0	0.521
AtpA	ldh	295358.mhp477	295358.mhp469	0.110	0	0	0	0.421	0.207	0	0	0.555
AtpA	AtpD	295358.mhp477	295358.mhp476	0.919	0	0.707	0	0.734	0.701	0.968	0	0.999
AtpA	pdhD	295358.mhp477	295358.mhp504	0.113	0	0	0	0.335	0.135	0	0	0.445
AtpA	PdhD	295358.mhp477	295358.mhp587	0.113	0	0	0	0.335	0.135	0	0	0.445
AtpA	rplI	295358.mhp477	295358.mhp665	0.094	0	0	0	0.115	0.331	0	0	0.416
AtpA	rpoB	295358.mhp477	295358.mhp636	0.079	0	0	0	0.405	0	0	0	0.428
AtpA	rplJ	295358.mhp477	295358.mhp638	0.068	0	0	0	0.382	0.285	0	0	0.552
AtpA	rpsD	295358.mhp477	295358.mhp593	0.067	0	0	0	0.475	0	0	0	0.489
AtpA	tuf	295358.mhp477	295358.mhp540	0.096	0	0	0	0.537	0.126	0	0	0.602
AtpA	aceF	295358.mhp477	295358.mhp503	0.096	0	0	0	0.326	0.423	0	0	0.617
AtpA	mhp697	295358.mhp477	295358.mhp697	0.148	0	0	0	0.235	0.539	0	0	0.673
AtpA	mhp611	295358.mhp477	295358.mhp611	0.560	0	0	0	0.072	0.369	0	0	0.719
AtpA	mhp479	295358.mhp477	295358.mhp479	0.857	0	0	0	0	0	0	0	0.857
AtpA	mhp480	295358.mhp477	295358.mhp480	0.871	0	0	0	0	0	0	0	0.871
AtpA	mhp481	295358.mhp477	295358.mhp481	0.897	0	0	0	0	0	0	0	0.897
AtpA	mhp478	295358.mhp477	295358.mhp478	0.919	0	0	0	0	0	0	0	0.919
AtpA	ppa	295358.mhp477	295358.mhp622	0.066	0	0	0	0.323	0	0.900	0	0.931
AtpD	mhp009	295358.mhp476	295358.mhp009	0.109	0	0	0	0.104	0.710	0	0	0.748
AtpD	grpE	295358.mhp476	295358.mhp011	0.070	0	0	0	0.042	0.123	0.764	0	0.790
AtpD	atpB	295358.mhp476	295358.mhp049	0.153	0	0	0	0.735	0.897	0.968	0	0.999
AtpD	atpE	295358.mhp476	295358.mhp050	0.153	0	0	0	0.716	0.810	0.968	0	0.998
AtpD	atpF	295358.mhp476	295358.mhp051	0.153	0	0	0	0.827	0.861	0.800	0	0.995
AtpD	atpH	295358.mhp476	295358.mhp052	0.153	0	0	0	0.746	0.897	0.968	0	0.999
AtpD	atpA	295358.mhp476	295358.mhp053	0.114	0	0.582	0.582	0.734	0.701	0.968	0	0.998
AtpD	atpG	295358.mhp476	295358.mhp054	0.152	0	0.728	0	0.822	0.897	0.968	0	0.999
AtpD	atpD	295358.mhp476	295358.mhp055	0	0	0.784	0.864	0	0	0.800	0	0.821
AtpD	rpsB	295358.mhp476	295358.mhp058	0.063	0	0	0	0.266	0.425	0	0	0.570
AtpD	dnaK	295358.mhp476	295358.mhp072	0.080	0	0	0	0.072	0.165	0.385	0	0.502
AtpD	fusA	295358.mhp476	295358.mhp083	0.067	0	0	0	0.402	0.164	0	0	0.492
AtpD	rpsG	295358.mhp476	295358.mhp084	0.068	0	0	0	0.388	0.129	0	0	0.459
AtpD	ftsH	295358.mhp476	295358.mhp175	0.079	0	0	0	0.073	0.125	0.851	0	0.873
AtpD	rpl4	295358.mhp476	295358.mhp188	0.078	0	0	0	0.337	0.129	0	0	0.421
AtpD	rpl2	295358.mhp476	295358.mhp190	0.077	0	0	0	0.488	0	0	0	0.507
AtpD	rps19	295358.mhp476	295358.mhp191	0.077	0	0	0	0.409	0.125	0	0	0.481
AtpD	rpl22	295358.mhp476	295358.mhp193	0.078	0	0	0	0.504	0	0	0	0.523
AtpD	rps3	295358.mhp476	295358.mhp194	0.078	0	0	0	0.499	0	0	0	0.518
AtpD	rpl16	295358.mhp476	295358.mhp195	0.078	0	0	0	0.413	0.129	0	0	0.487
AtpD	rpl29	295358.mhp476	295358.mhp196	0.078	0	0	0	0.389	0	0	0	0.412
AtpD	rps17	295358.mhp476	295358.mhp197	0.078	0	0	0	0.480	0.206	0	0	0.586
AtpD	rpl5	295358.mhp476	295358.mhp200	0.078	0	0	0	0.408	0.124	0	0	0.480
AtpD	rpl18	295358.mhp476	295358.mhp204	0.081	0	0	0	0.468	0	0	0	0.490
AtpD	rps5	295358.mhp476	295358.mhp205	0.081	0	0	0	0.736	0.126	0	0	0.769
AtpD	rpl15	295358.mhp476	295358.mhp206	0.081	0	0	0	0.388	0	0	0	0.413
AtpD	adk	295358.mhp476	295358.mhp208	0.082	0	0	0	0.176	0	0.900	0	0.917
AtpD	rps13	295358.mhp476	295358.mhp211	0.063	0	0	0	0.287	0.227	0	0	0.438
AtpD	rpoA	295358.mhp476	295358.mhp213	0.064	0	0	0	0.325	0	0.406	0	0.591
AtpD	mhp611	295358.mhp476	295358.mhp611	0.560	0	0	0	0.075	0.128	0	0	0.614
AtpD	mhp697	295358.mhp476	295358.mhp697	0.137	0	0	0	0.172	0.539	0	0	0.641
AtpD	rpoB	295358.mhp476	295358.mhp636	0.078	0	0	0	0.245	0.124	0.385	0	0.574
AtpD	tuf	295358.mhp476	295358.mhp540	0.095	0	0	0	0.541	0.126	0	0	0.605
AtpD	rpoC	295358.mhp476	295358.mhp635	0.080	0	0	0	0.385	0.128	0.385	0	0.655
AtpD	mhp479	295358.mhp476	295358.mhp479	0.857	0	0	0	0	0	0	0	0.857
AtpD	mhp633	295358.mhp476	295358.mhp633	0.059	0	0	0	0.072	0	0.850	0	0.857
AtpD	mhp480	295358.mhp476	295358.mhp480	0.871	0	0	0	0	0	0	0	0.871
AtpD	mhp481	295358.mhp476	295358.mhp481	0.897	0	0	0	0	0	0	0	0.897
AtpD	ppa	295358.mhp476	295358.mhp622	0.059	0	0	0	0.113	0	0.900	0	0.909
AtpD	mhp478	295358.mhp476	295358.mhp478	0.919	0	0	0	0	0	0	0	0.919
DeoB	thdF	295358.mhp221	295358.mhp172	0.475	0	0	0	0	0	0	0	0.475
DeoB	mhp215	295358.mhp221	295358.mhp215	0.575	0	0	0	0	0	0	0	0.575
DeoB	mhp216	295358.mhp221	295358.mhp216	0.539	0	0	0	0	0	0	0	0.539
DeoB	nifS	295358.mhp221	295358.mhp217	0.552	0	0	0	0	0	0	0	0.552
DeoB	hlyA	295358.mhp221	295358.mhp218	0.627	0	0	0	0	0	0	0	0.627
DeoB	mhp219	295358.mhp221	295358.mhp219	0.506	0	0	0	0	0	0	0	0.506
DeoB	mhp220	295358.mhp221	295358.mhp220	0.627	0	0	0	0	0	0	0	0.627
DeoB	mhp654	295358.mhp221	295358.mhp654	0.475	0	0	0	0	0	0	0	0.475
DeoB	mhp653	295358.mhp221	295358.mhp653	0.475	0	0	0	0	0	0	0	0.475
DeoB	era	295358.mhp221	295358.mhp226	0.618	0	0	0	0	0	0	0	0.618
DeoB	upp	295358.mhp221	295358.mhp543	0.475	0	0	0	0.087	0	0	0	0.500
DeoB	ybeY	295358.mhp221	295358.mhp224	0.629	0	0	0	0	0	0	0	0.629
DeoB	mhp223	295358.mhp221	295358.mhp223	0.652	0	0	0	0	0	0	0	0.652
DeoB	cdd	295358.mhp221	295358.mhp225	0.684	0	0	0	0	0	0	0	0.684
DeoB	tktA	295358.mhp221	295358.mhp431	0.063	0	0	0	0.050	0	0.900	0	0.903
DeoB	mhp594	295358.mhp221	295358.mhp594	0.066	0	0	0	0	0	0.900	0	0.902
DeoB	prsA	295358.mhp221	295358.mhp675	0.077	0	0	0	0	0	0.900	0	0.903
DeoB	deoA	295358.mhp221	295358.mhp298	0.475	0	0	0	0.113	0	0.900	0	0.949
DeoB	deoD	295358.mhp221	295358.mhp297	0.475	0	0	0	0.164	0	0.900	0	0.952
DeoB	deoC	295358.mhp221	295358.mhp544	0.475	0.784	0	0	0.115	0	0.900	0	0.988
IctD	fba	295358.mhp245	295358.mhp014	0.068	0	0	0	0.076	0	0.800	0	0.812
IctD	gap	295358.mhp245	295358.mhp036	0.139	0	0	0	0.239	0.164	0	0	0.404
IctD	atpH	295358.mhp245	295358.mhp052	0.133	0	0	0	0.386	0.303	0	0	0.596
IctD	atpA	295358.mhp245	295358.mhp053	0.110	0	0	0	0.421	0.207	0	0	0.555
IctD	atpG	295358.mhp245	295358.mhp054	0.150	0	0	0	0.476	0.216	0	0	0.620
IctD	serS	295358.mhp245	295358.mhp128	0.079	0	0	0	0.112	0.427	0	0	0.490
IctD	eno	295358.mhp245	295358.mhp129	0.127	0	0	0	0.452	0.454	0	0	0.715
IctD	secD	295358.mhp245	295358.mhp139	0.560	0	0	0	0	0	0	0	0.560
IctD	iolC	295358.mhp245	295358.mhp152	0.095	0	0	0	0.113	0.470	0	0	0.537
IctD	prfA	295358.mhp245	295358.mhp243	0.385	0	0	0	0.086	0	0	0	0.414
IctD	mhp244	295358.mhp245	295358.mhp244	0.419	0	0	0	0	0	0	0	0.418
IctD	mhp586	295358.mhp245	295358.mhp586	0.097	0	0	0	0.105	0.379	0	0	0.454
IctD	pepA	295358.mhp245	295358.mhp462	0.067	0	0	0	0.115	0.439	0	0	0.496
IctD	mhp611	295358.mhp245	295358.mhp611	0.560	0	0	0	0	0	0	0	0.560
IctD	aceF	295358.mhp245	295358.mhp503	0.153	0	0	0	0.254	0.216	0	0	0.461
IctD	mhp246	295358.mhp245	295358.mhp246	0.715	0	0	0	0.086	0	0	0	0.728
IctD	deoC	295358.mhp245	295358.mhp544	0.067	0	0	0	0.074	0	0.800	0	0.812
IctD	mhp589	295358.mhp245	295358.mhp589	0.068	0	0	0	0.076	0	0.800	0	0.812
IctD	ldh	295358.mhp245	295358.mhp469	0	0	0.522	0.605	0	0	0.800	0	0.839
IctD	tktA	295358.mhp245	295358.mhp431	0.073	0	0	0	0.113	0.126	0.800	0	0.837
IctD	pgiB	295358.mhp245	295358.mhp548	0.187	0	0	0	0.149	0	0.800	0	0.849
IctD	pdhA	295358.mhp245	295358.mhp265	0.094	0	0	0	0.100	0	0.900	0	0.911
IctD	pdhB	295358.mhp245	295358.mhp264	0.094	0	0	0	0.140	0.128	0.900	0	0.922
IctD	pyk	295358.mhp245	295358.mhp255	0.135	0	0	0	0.193	0.287	0.900	0	0.943
LepA	mhp009	295358.mhp079	295358.mhp009	0.560	0	0	0	0.074	0.123	0	0	0.611
LepA	hrcA	295358.mhp079	295358.mhp010	0.475	0	0	0	0	0	0	0	0.475
LepA	grpE	295358.mhp079	295358.mhp011	0.475	0	0	0	0.094	0	0	0	0.504
LepA	mhp028	295358.mhp079	295358.mhp028	0.475	0	0	0	0.178	0	0	0	0.549
LepA	obg	295358.mhp079	295358.mhp043	0.080	0	0.283	0	0.387	0.124	0	0	0.598
LepA	rpsB	295358.mhp079	295358.mhp058	0.095	0	0	0	0.106	0.951	0	0	0.956
LepA	dnaK	295358.mhp079	295358.mhp072	0.475	0	0	0	0.073	0	0	0	0.492
LepA	dnaJ	295358.mhp079	295358.mhp073	0.475	0	0	0	0.073	0.128	0	0	0.538
LepA	cmk	295358.mhp079	295358.mhp074	0.397	0	0	0	0.095	0	0	0	0.430
LepA	mhp077	295358.mhp079	295358.mhp077	0.871	0	0	0	0.159	0	0	0	0.887
LepA	lepA	295358.mhp079	295358.mhp078	0.853	0	0	0	0	0	0	0	0.853
LepA	hemK	295358.mhp079	295358.mhp242	0.146	0	0	0	0.100	0.374	0	0	0.476
LepA	glcK	295358.mhp079	295358.mhp515	0.475	0	0	0	0	0	0	0	0.475
LepA	trmB	295358.mhp079	295358.mhp463	0.475	0	0	0	0.072	0	0	0	0.491
LepA	dnaC	295358.mhp079	295358.mhp664	0.475	0	0	0	0.077	0	0	0	0.494
LepA	mhp602	295358.mhp079	295358.mhp602	0.475	0	0	0	0.093	0	0	0	0.503
LepA	glpQ	295358.mhp079	295358.mhp317	0.475	0	0	0	0.096	0	0	0	0.505
LepA	mhp490	295358.mhp079	295358.mhp490	0.513	0	0	0	0	0	0	0	0.513
LepA	mhp227	295358.mhp079	295358.mhp227	0.475	0	0	0	0.120	0	0	0	0.518
LepA	rsmE	295358.mhp079	295358.mhp181	0.475	0	0	0	0	0	0	0	0.475
LepA	prsA	295358.mhp079	295358.mhp675	0.475	0	0	0	0.114	0	0	0	0.514
LepA	tuf	295358.mhp079	295358.mhp540	0	0	0	0.592	0.378	0.124	0	0	0.431
LepA	mhp586	295358.mhp079	295358.mhp586	0.475	0	0	0	0.103	0	0	0	0.508
LepA	trmU	295358.mhp079	295358.mhp433	0.475	0	0	0	0.115	0	0	0	0.515
LepA	mhp376	295358.mhp079	295358.mhp376	0.475	0	0	0	0.075	0.125	0	0	0.537
LepA	nadD	295358.mhp079	295358.mhp474	0.560	0	0	0	0	0	0	0	0.560
LepA	ybeY	295358.mhp079	295358.mhp224	0.475	0	0	0	0.072	0	0	0	0.491
LepA	tilS	295358.mhp079	295358.mhp176	0.475	0	0	0	0.105	0.127	0	0	0.553
LepA	alaS	295358.mhp079	295358.mhp180	0.095	0	0.295	0	0.235	0	0	0	0.469
LepA	rplJ	295358.mhp079	295358.mhp638	0.059	0	0	0	0.077	0.608	0	0	0.629
LepA	infB	295358.mhp079	295358.mhp601	0.208	0	0.627	0.585	0.200	0.124	0	0	0.549
LepA	rpmE	295358.mhp079	295358.mhp455	0.199	0	0	0	0.115	0.608	0	0	0.697
LepA	era	295358.mhp079	295358.mhp226	0.475	0.316	0	0	0.234	0	0	0	0.700
LepA	aspS	295358.mhp079	295358.mhp137	0.475	0	0.307	0	0.219	0	0	0	0.691
LepA	rplI	295358.mhp079	295358.mhp665	0.082	0	0	0	0.111	0.611	0	0	0.654
LepA	truB	295358.mhp079	295358.mhp104	0.475	0	0	0	0.187	0	0	0	0.554
LepA	rnc	295358.mhp079	295358.mhp412	0.475	0	0	0	0.186	0.124	0	0	0.592
LepA	prfA	295358.mhp079	295358.mhp243	0.097	0	0.619	0	0.241	0.124	0	0	0.740
LepA	infC	295358.mhp079	295358.mhp256	0.475	0	0	0	0.113	0	0	0	0.514
LepA	pyrG	295358.mhp079	295358.mhp100	0.475	0	0	0	0.115	0	0	0	0.515
LepA	pheS	295358.mhp079	295358.mhp106	0.475	0	0	0	0.388	0	0	0	0.664
LepA	pheT	295358.mhp079	295358.mhp105	0.560	0	0	0	0.174	0	0	0	0.621
LepA	rps13	295358.mhp079	295358.mhp211	0.060	0	0	0	0.111	0.950	0	0	0.954
LepA	rpl29	295358.mhp079	295358.mhp196	0	0	0	0	0.084	0.950	0	0	0.952
LepA	rpmG	295358.mhp079	295358.mhp679	0.095	0	0	0	0.094	0.950	0	0	0.955
LepA	rps19	295358.mhp079	295358.mhp191	0	0	0	0	0.102	0.950	0	0	0.953
LepA	rps17	295358.mhp079	295358.mhp197	0	0	0	0	0.073	0.950	0	0	0.951
LepA	rpl23	295358.mhp079	295358.mhp189	0	0	0	0	0.108	0.950	0	0	0.953
LepA	rpmH	295358.mhp079	295358.mhp699	0.096	0	0	0	0.104	0.950	0	0	0.955
LepA	rplA	295358.mhp079	295358.mhp458	0.059	0	0	0	0.115	0.950	0	0	0.954
LepA	rpl24	295358.mhp079	295358.mhp199	0	0	0	0	0.110	0.950	0	0	0.953
LepA	rpl18	295358.mhp079	295358.mhp204	0	0	0	0	0.103	0.950	0	0	0.953
LepA	rps14	295358.mhp079	295358.mhp201	0.066	0	0	0	0.170	0.950	0	0	0.957
LepA	rpsD	295358.mhp079	295358.mhp593	0	0	0	0	0.115	0.950	0	0	0.953
LepA	rps18	295358.mhp079	295358.mhp305	0.088	0	0	0	0.090	0.950	0	0	0.954
LepA	rpl27	295358.mhp079	295358.mhp249	0.081	0	0	0	0.165	0.950	0	0	0.958
LepA	rpsF	295358.mhp079	295358.mhp307	0.082	0	0	0	0.115	0.951	0	0	0.956
LepA	rpl5	295358.mhp079	295358.mhp200	0	0	0	0	0.114	0.950	0	0	0.953
LepA	rplK	295358.mhp079	295358.mhp459	0.059	0	0	0	0.115	0.950	0	0	0.954
LepA	rpl28	295358.mhp079	295358.mhp259	0.169	0	0	0	0.112	0.950	0	0	0.959
LepA	rpsP	295358.mhp079	295358.mhp094	0.133	0	0	0	0.133	0.950	0	0	0.959
LepA	rpsL	295358.mhp079	295358.mhp085	0	0	0	0	0.115	0.950	0	0	0.953
