#node1	node2	combined_score
spoIIAA	spoVAEB	0.822
spoIIAA	spoVAD	0.839
spoIIAA	spoVAC	0.84
spoIIAA	spoVAB	0.613
spoIIAA	spoVAA	0.619
spoIIAA	spoIIAB	0.999
spoIIAA	spoIVB	0.441
spoIIAA	spoIIID	0.446
spoIIAA	spoIIR	0.454
spoIIAB	spoVT	0.77
spoIIAB	yabP	0.767
spoIIAB	spoIIE	0.698
spoIIAB	yabT	0.516
spoIIAB	yfkQ	0.751
spoIIAB	ylbJ	0.567
spoIIAB	spoIIGA	0.841
spoIIAB	ylmC	0.771
spoIIAB	tepA	0.697
spoIIAB	yndD	0.706
spoIIAB	spoIVA	0.826
spoIIAB	spoVAF	0.867
spoIIAB	spoVAEA	0.545
spoIIAB	spoVAEB	0.893
spoIIAB	spoVAD	0.894
spoIIAB	spoVAC	0.895
spoIIAB	spoVAB	0.642
spoIIAB	spoVAA	0.633
spoIIAB	ytfJ	0.403
spoIIAB	spoIIIAE	0.48
spoIIAB	spoIIIAD	0.665
spoIIAB	spoIIIAG	0.591
spoIIAB	yqfD	0.716
spoIIAB	spoIIP	0.475
spoIIAB	spoIVB	0.765
spoIIAB	spoIIIAA	0.713
spoIIAB	spoIIID	0.765
spoIIAB	spoIIR	0.763
spoIIE	yaaC	0.481
spoIIE	spoVT	0.46
spoIIE	yabP	0.766
spoIIE	yabQ	0.795
spoIIE	ylbD	0.426
spoIIE	ymfJ	0.434
spoIIE	yhcN	0.455
spoIIE	yndD	0.414
spoIIE	ylaJ	0.475
spoIIE	ytlA	0.476
spoIIE	yutH	0.501
spoIIE	ytxC	0.514
spoIIE	spoVAEB	0.525
spoIIE	spoVAF	0.542
spoIIE	spoVAD	0.523
spoIIE	spoVFA	0.55
spoIIE	yqfQ	0.571
spoIIE	ytaF	0.601
spoIIE	yrzR	0.614
spoIIE	ytfI	0.62
spoIIE	yqgE	0.621
spoIIE	ytfJ	0.625
spoIIE	ytrI	0.63
spoIIE	spoVAC	0.598
spoIIE	ymxH	0.638
spoIIE	tepA	0.671
spoIIE	yqfC	0.673
spoIIE	spoVAA	0.679
spoIIE	yqfX	0.697
spoIIE	yrzE	0.7
spoIIE	spoVAB	0.707
spoIIE	yqhR	0.726
spoIIE	yhbB	0.744
spoIIE	ytrH	0.746
spoIIE	ydcC	0.751
spoIIE	ypeB	0.753
spoIIE	spoIIIAB	0.752
spoIIE	spoIIIAF	0.769
spoIIE	ylbJ	0.771
spoIIE	spoIIIAD	0.772
spoIIE	ylmC	0.73
spoIIE	yqfD	0.775
spoIIE	spoVID	0.769
spoIIE	spoIIIAE	0.776
spoIIE	spoIVB	0.756
spoIIE	spoIVFA	0.802
spoIIE	spoIVA	0.723
spoIIE	spoIIIAG	0.779
spoIIE	spoIIIAA	0.75
spoIIE	spoIIID	0.753
spoIIE	spoIIM	0.766
spoIIE	spoIIIAH	0.732
spoIIE	spoIIP	0.771
spoIIE	spoIIR	0.77
spoIIE	yabS	0.972
spoIIE	yabT	0.976
spoIIE	spoIIGA	0.932
spoIIGA	yaaC	0.508
spoIIGA	spoVT	0.48
spoIIGA	yabP	0.488
spoIIGA	yabQ	0.706
spoIIGA	yabS	0.841
spoIIGA	yabT	0.643
spoIIGA	yfkQ	0.516
spoIIGA	yhbB	0.415
spoIIGA	ylbJ	0.77
spoIIGA	ytrI	0.408
spoIIGA	ytaF	0.412
spoIIGA	yyaC	0.412
spoIIGA	spoVAEB	0.479
spoIIGA	yqgE	0.485
spoIIGA	spoVAF	0.443
spoIIGA	spoVAA	0.497
spoIIGA	ytxC	0.503
spoIIGA	yqhR	0.515
spoIIGA	ysxE	0.573
spoIIGA	yqfX	0.579
spoIIGA	ywcI	0.585
spoIIGA	yrzE	0.61
spoIIGA	spoVAB	0.53
spoIIGA	yrzR	0.626
spoIIGA	yppC	0.632
spoIIGA	ytrH	0.633
spoIIGA	ytfI	0.648
spoIIGA	spoVAD	0.6
spoIIGA	yutH	0.662
spoIIGA	tepA	0.678
spoIIGA	ymxH	0.642
spoIIGA	ytfJ	0.725
spoIIGA	spoVAC	0.588
spoIIGA	spoVID	0.65
spoIIGA	ypeB	0.771
spoIIGA	spoIIIAD	0.801
spoIIGA	yqfC	0.758
spoIIGA	spoIIIAF	0.791
spoIIGA	spoIIIAE	0.808
spoIIGA	yqfD	0.756
spoIIGA	spoIVFA	0.672
spoIIGA	spoIIIAG	0.813
spoIIGA	spoIIIAB	0.797
spoIIGA	spoIVB	0.758
spoIIGA	spoIVA	0.766
spoIIGA	ylmC	0.801
spoIIGA	spoIIP	0.695
spoIIGA	spoIIM	0.831
spoIIGA	spoIIID	0.703
spoIIGA	spoIIIAA	0.775
spoIIGA	spoIIR	0.8
spoIIIAA	spoVT	0.766
spoIIIAA	yabP	0.72
spoIIIAA	yabS	0.417
spoIIIAA	yfkQ	0.713
spoIIIAA	ylbJ	0.785
spoIIIAA	ylmC	0.773
spoIIIAA	ymxH	0.696
spoIIIAA	tepA	0.768
spoIIIAA	yndD	0.689
spoIIIAA	spoIVA	0.79
spoIIIAA	spoVAF	0.499
spoIIIAA	spoVAEB	0.697
spoIIIAA	spoVAD	0.702
spoIIIAA	spoVAC	0.703
spoIIIAA	spoVAA	0.457
spoIIIAA	spoIIM	0.64
spoIIIAA	spoIVB	0.794
spoIIIAA	spoIIIAH	0.866
spoIIIAA	spoIIIAG	0.97
spoIIIAA	spoIIIAF	0.919
spoIIIAA	spoIIIAE	0.968
spoIIIAA	spoIIIAD	0.975
spoIIIAA	spoIIIAB	0.996
spoIIIAA	ytaF	0.454
spoIIIAA	ytxC	0.473
spoIIIAA	yqhR	0.516
spoIIIAA	ytlA	0.533
spoIIIAA	ytfJ	0.6
spoIIIAA	yyaC	0.676
spoIIIAA	yqfD	0.78
spoIIIAA	yqfC	0.726
spoIIIAA	spoIVFA	0.429
spoIIIAA	spoIIR	0.778
spoIIIAA	spoIIP	0.615
spoIIIAA	spoIIID	0.78
spoIIIAB	spoVT	0.533
spoIIIAB	yabQ	0.595
spoIIIAB	yabS	0.614
spoIIIAB	yabT	0.588
spoIIIAB	yfkT	0.459
spoIIIAB	yfkR	0.479
spoIIIAB	yfkQ	0.605
spoIIIAB	yhbH	0.411
spoIIIAB	spoVR	0.531
spoIIIAB	ylaK	0.513
spoIIIAB	ylbJ	0.783
spoIIIAB	ylmC	0.659
spoIIIAB	ymxH	0.489
spoIIIAB	spoVFA	0.439
spoIIIAB	tepA	0.603
spoIIIAB	yndD	0.598
spoIIIAB	spoIVA	0.46
spoIIIAB	ypeB	0.64
spoIIIAB	spoVAF	0.499
spoIIIAB	spoVAB	0.407
spoIIIAB	spoIIM	0.876
spoIIIAB	spoIVB	0.753
spoIIIAB	spoIIIAH	0.906
spoIIIAB	spoIIIAG	0.97
spoIIIAB	spoIIIAF	0.968
spoIIIAB	spoIIIAE	0.981
spoIIIAB	spoIIIAD	0.978
spoIIIAB	ysxE	0.46
spoIIIAB	yutH	0.467
spoIIIAB	yrzE	0.497
spoIIIAB	ytaF	0.559
spoIIIAB	ytrI	0.564
spoIIIAB	yrzR	0.566
spoIIIAB	ytfJ	0.589
spoIIIAB	ytrH	0.64
spoIIIAB	yqhR	0.651
spoIIIAB	ytfI	0.664
spoIIIAB	spoIVFA	0.651
spoIIIAB	yyaC	0.728
spoIIIAB	ytxC	0.729
spoIIIAB	spoIIID	0.684
spoIIIAB	spoIIR	0.724
spoIIIAB	spoVID	0.616
spoIIIAB	yqfD	0.761
spoIIIAB	spoIIP	0.57
spoIIIAB	yqfC	0.785
spoIIIAD	spoVT	0.763
spoIIIAD	yabP	0.693
spoIIIAD	yfkT	0.476
spoIIIAD	yfkR	0.583
spoIIIAD	yfkQ	0.735
spoIIIAD	ylbJ	0.787
spoIIIAD	ylmC	0.766
spoIIIAD	ymxH	0.69
spoIIIAD	spoVFA	0.416
spoIIIAD	tepA	0.764
spoIIIAD	yndD	0.735
spoIIIAD	spoIVA	0.867
spoIIIAD	ypeB	0.639
spoIIIAD	spoVAF	0.587
spoIIIAD	spoVAEB	0.585
spoIIIAD	spoVAD	0.714
spoIIIAD	spoVAC	0.696
spoIIIAD	spoIIM	0.822
spoIIIAD	spoIVB	0.795
spoIIIAD	spoIIIAH	0.906
spoIIIAD	spoIIIAG	0.971
spoIIIAD	spoIIIAF	0.993
spoIIIAD	spoIIIAE	0.992
spoIIIAD	yqhR	0.407
spoIIIAD	yrzE	0.481
spoIIIAD	yrzR	0.501
spoIIIAD	spoIVFA	0.522
spoIIIAD	ytlA	0.539
spoIIIAD	ytrH	0.542
spoIIIAD	ytfI	0.571
spoIIIAD	ytxC	0.591
spoIIIAD	ytaF	0.618
spoIIIAD	ytfJ	0.729
spoIIIAD	yyaC	0.759
spoIIIAD	yqfD	0.776
spoIIIAD	spoIIR	0.783
spoIIIAD	spoIIID	0.797
spoIIIAD	spoIIP	0.699
spoIIIAD	yqfC	0.785
spoIIIAE	sspF	0.456
spoIIIAE	spoVT	0.692
spoIIIAE	yabP	0.679
spoIIIAE	yabQ	0.705
spoIIIAE	yabS	0.721
spoIIIAE	yabT	0.668
spoIIIAE	yfkT	0.515
spoIIIAE	yfkR	0.619
spoIIIAE	yfkQ	0.706
spoIIIAE	yhbB	0.528
spoIIIAE	spoVR	0.423
spoIIIAE	yheD	0.424
spoIIIAE	ylbJ	0.802
spoIIIAE	ylmC	0.753
spoIIIAE	ymxH	0.71
spoIIIAE	spoVFA	0.487
spoIIIAE	tepA	0.744
spoIIIAE	yndD	0.693
spoIIIAE	spoIVA	0.766
spoIIIAE	ypeB	0.753
spoIIIAE	spoVAF	0.649
spoIIIAE	spoVAEA	0.401
spoIIIAE	spoVAEB	0.493
spoIIIAE	spoVAD	0.607
spoIIIAE	spoVAC	0.628
spoIIIAE	spoVAB	0.484
spoIIIAE	spoVAA	0.456
spoIIIAE	spoIIM	0.836
spoIIIAE	spoIVB	0.794
spoIIIAE	spoIIIAH	0.956
spoIIIAE	spoIIIAG	0.982
spoIIIAE	spoIIIAF	0.995
spoIIIAE	ysxE	0.46
spoIIIAE	yqfX	0.483
spoIIIAE	yutH	0.484
spoIIIAE	ytlA	0.529
spoIIIAE	yqgE	0.56
spoIIIAE	ytrI	0.561
spoIIIAE	spoVID	0.642
spoIIIAE	yrzE	0.678
spoIIIAE	yqhR	0.702
spoIIIAE	ytaF	0.71
spoIIIAE	ytxC	0.713
spoIIIAE	yrzR	0.715
spoIIIAE	ytrH	0.737
spoIIIAE	ytfI	0.742
spoIIIAE	yyaC	0.748
spoIIIAE	ytfJ	0.753
spoIIIAE	yqfD	0.778
spoIIIAE	yqfC	0.788
spoIIIAE	spoIIR	0.797
spoIIIAE	spoIVFA	0.823
spoIIIAE	spoIIP	0.743
spoIIIAE	spoIIID	0.934
spoIIIAF	yaaC	0.598
spoIIIAF	yabQ	0.777
spoIIIAF	yabS	0.773
spoIIIAF	yabT	0.751
spoIIIAF	ydcC	0.625
spoIIIAF	yhbB	0.663
spoIIIAF	ylaJ	0.449
spoIIIAF	ylbD	0.506
spoIIIAF	ylbJ	0.671
spoIIIAF	yppC	0.539
spoIIIAF	spoIVA	0.494
spoIIIAF	ypeB	0.723
spoIIIAF	spoVAB	0.477
spoIIIAF	spoVAA	0.499
spoIIIAF	spoIIM	0.777
spoIIIAF	spoIVB	0.549
spoIIIAF	spoIIIAH	0.967
spoIIIAF	spoIIIAG	0.991
spoIIIAF	spoIIID	0.42
spoIIIAF	ytfJ	0.469
spoIIIAF	ytlA	0.471
spoIIIAF	yqfQ	0.59
spoIIIAF	yrzR	0.596
spoIIIAF	spoIIR	0.603
spoIIIAF	ytxC	0.624
spoIIIAF	ytfI	0.665
spoIIIAF	yqgE	0.698
spoIIIAF	ysxE	0.707
spoIIIAF	yqfD	0.715
spoIIIAF	yutH	0.728
spoIIIAF	ytrH	0.731
spoIIIAF	ytrI	0.744
spoIIIAF	yqfX	0.745
spoIIIAF	yqfC	0.719
spoIIIAF	spoIIP	0.614
spoIIIAF	spoVID	0.764
spoIIIAF	yqhR	0.815
spoIIIAF	spoIIQ	0.451
spoIIIAF	spoIVFA	0.839
spoIIIAF	yrzE	0.865
spoIIIAG	spoVT	0.684
spoIIIAG	yabP	0.737
spoIIIAG	yabQ	0.676
spoIIIAG	yabS	0.614
spoIIIAG	yabT	0.501
spoIIIAG	yfkQ	0.543
spoIIIAG	spoVR	0.518
spoIIIAG	yheD	0.438
spoIIIAG	ylaJ	0.4
spoIIIAG	ylbJ	0.795
spoIIIAG	ylmC	0.725
spoIIIAG	ymxH	0.652
spoIIIAG	spoVFA	0.473
spoIIIAG	tepA	0.725
spoIIIAG	yndD	0.511
spoIIIAG	spoIVA	0.804
spoIIIAG	ypeB	0.705
spoIIIAG	spoVAF	0.59
spoIIIAG	spoVAEB	0.489
spoIIIAG	spoVAD	0.594
spoIIIAG	spoVAC	0.583
spoIIIAG	spoVAB	0.605
spoIIIAG	spoVAA	0.571
spoIIIAG	spoIIM	0.744
spoIIIAG	spoIVB	0.794
spoIIIAG	spoIIIAH	0.994
spoIIIAG	yutH	0.471
spoIIIAG	ytlA	0.487
spoIIIAG	ytrI	0.499
spoIIIAG	ysxE	0.517
spoIIIAG	ytfI	0.523
spoIIIAG	yqgE	0.546
spoIIIAG	yrzR	0.564
spoIIIAG	yqfX	0.582
spoIIIAG	yyaC	0.592
spoIIIAG	ytfJ	0.62
spoIIIAG	ytaF	0.624
spoIIIAG	ytrH	0.632
spoIIIAG	yqhR	0.644
spoIIIAG	yrzE	0.762
spoIIIAG	yqfD	0.788
spoIIIAG	yqfC	0.775
spoIIIAG	spoIIR	0.773
spoIIIAG	spoVID	0.718
spoIIIAG	spoIVFA	0.804
spoIIIAG	spoIIID	0.809
spoIIIAG	spoIIP	0.787
spoIIIAH	sspF	0.44
spoIIIAH	yabP	0.512
spoIIIAH	yabQ	0.424
spoIIIAH	yabS	0.485
spoIIIAH	ydcC	0.78
spoIIIAH	yhbB	0.469
spoIIIAH	yhbH	0.502
spoIIIAH	spoVIF	0.722
spoIIIAH	ylaK	0.501
spoIIIAH	ylbJ	0.589
spoIIIAH	ymfJ	0.588
spoIIIAH	spoIVA	0.757
spoIIIAH	ypeB	0.526
spoIIIAH	spoIIM	0.488
spoIIIAH	ytfJ	0.461
spoIIIAH	ytrH	0.507
spoIIIAH	yqhR	0.51
spoIIIAH	ytrI	0.525
spoIIIAH	yqfX	0.524
spoIIIAH	ysxE	0.603
spoIIIAH	yrzE	0.619
spoIIIAH	yqfD	0.627
spoIIIAH	yqfQ	0.671
spoIIIAH	spoVID	0.76
spoIIIAH	spoIIR	0.473
spoIIIAH	spoIIID	0.639
spoIIIAH	spoIVFA	0.588
spoIIIAH	spoIIP	0.631
spoIIIAH	spoIIQ	0.999
spoIIID	spoVT	0.783
spoIIID	yabP	0.767
spoIIID	yfkR	0.566
spoIIID	yfkQ	0.769
spoIIID	spoVR	0.581
spoIIID	yheD	0.605
spoIIID	ylaK	0.567
spoIIID	ylbJ	0.771
spoIIID	ylmC	0.766
spoIIID	ymxH	0.684
spoIIID	spoVFA	0.433
spoIIID	spoVFB	0.571
spoIIID	tepA	0.747
spoIIID	yndD	0.765
spoIIID	spoIVA	0.847
spoIIID	spoVAF	0.745
spoIIID	spoVAEB	0.769
spoIIID	spoVAD	0.79
spoIIID	spoVAC	0.783
spoIIID	spoIVB	0.828
spoIIID	yqfD	0.766
spoIIID	yqfC	0.627
spoIIID	spoIIP	0.704
spoIIID	ysxE	0.612
spoIIID	spoVID	0.55
spoIIID	ytfJ	0.82
spoIIID	yyaC	0.711
spoIIID	spoIIQ	0.569
spoIIID	spoIIR	0.777
spoIIID	usd	0.928
spoIIM	yaaC	0.424
spoIIM	yabQ	0.736
spoIIM	yabS	0.75
spoIIM	yabT	0.687
spoIIM	yfkT	0.503
spoIIM	yfkR	0.519
spoIIM	yhbB	0.435
spoIIM	ylbJ	0.77
spoIIM	ylmC	0.416
spoIIM	tepA	0.442
spoIIM	yppC	0.412
spoIIM	spoIVA	0.502
spoIIM	ypeB	0.772
spoIIM	spoVAF	0.421
spoIIM	spoVAEA	0.593
spoIIM	spoVAC	0.414
spoIIM	spoVAB	0.615
spoIIM	spoVAA	0.567
spoIIM	yqhR	0.461
spoIIM	yqfX	0.479
spoIIM	yrzR	0.504
spoIIM	yrzE	0.515
spoIIM	yutH	0.533
spoIIM	yyaC	0.564
spoIIM	yqfD	0.63
spoIIM	ytfI	0.668
spoIIM	ytxC	0.679
spoIIM	ytfJ	0.688
spoIIM	ytrH	0.694
spoIIM	spoVID	0.632
spoIIM	spoIVB	0.695
spoIIM	yqfC	0.767
spoIIM	spoIIR	0.661
spoIIM	spoIVFA	0.718
spoIIM	spoIIP	0.657
spoIIP	yaaC	0.571
spoIIP	spoVT	0.487
spoIIP	yabP	0.758
spoIIP	yabQ	0.7
spoIIP	yabS	0.47
spoIIP	yabT	0.411
spoIIP	ydcC	0.728
spoIIP	ylaJ	0.537
spoIIP	ylbD	0.531
spoIIP	ylbJ	0.731
spoIIP	ylmC	0.646
spoIIP	ymxH	0.555
spoIIP	spoVFA	0.527
spoIIP	tepA	0.5
spoIIP	yndD	0.477
spoIIP	spoIVA	0.75
spoIIP	ypeB	0.666
spoIIP	spoVAF	0.655
spoIIP	spoVAEB	0.537
spoIIP	spoVAD	0.613
spoIIP	spoVAC	0.603
spoIIP	spoVAB	0.545
spoIIP	spoVAA	0.524
spoIIP	spoIVB	0.77
spoIIP	yqhR	0.642
spoIIP	yqgE	0.643
spoIIP	yqfX	0.693
spoIIP	yqfQ	0.523
spoIIP	yqfD	0.754
spoIIP	yqfC	0.498
spoIIP	ysxE	0.472
spoIIP	ytfI	0.498
spoIIP	ytrI	0.554
spoIIP	ytaF	0.566
spoIIP	yutH	0.584
spoIIP	ytrH	0.602
spoIIP	yrzR	0.617
spoIIP	ytfJ	0.695
spoIIP	yrzE	0.715
spoIIP	spoVID	0.766
spoIIP	spoIVFA	0.702
spoIIP	spoIIR	0.723
spoIIP	spoIIQ	0.618
spoIIQ	ydcC	0.71
spoIIQ	ylaK	0.502
spoIIQ	ylbD	0.4
spoIIQ	spoIVA	0.725
spoIIQ	yqfX	0.525
spoIIQ	spoIVFA	0.485
spoIIQ	spoVID	0.789
spoIIQ	ytfJ	0.502
spoIIQ	ytfI	0.43
spoIIR	spoVT	0.773
spoIIR	yabP	0.769
spoIIR	yabS	0.427
spoIIR	yfkR	0.435
spoIIR	yfkQ	0.771
spoIIR	ylbJ	0.772
spoIIR	ylmC	0.802
spoIIR	ymxH	0.71
spoIIR	spoVFA	0.457
spoIIR	spoVFB	0.428
spoIIR	tepA	0.767
spoIIR	yndD	0.764
spoIIR	spoIVA	0.772
spoIIR	ypeB	0.583
spoIIR	spoVAF	0.697
spoIIR	spoVAEB	0.753
spoIIR	spoVAD	0.761
spoIIR	spoVAC	0.764
spoIIR	spoIVB	0.775
spoIIR	yqfD	0.781
spoIIR	yqfC	0.674
spoIIR	ytaF	0.421
spoIIR	ytfJ	0.755
spoIIR	ytlA	0.475
spoIIR	yyaC	0.659
spoIVA	spoVT	0.779
spoIVA	yabP	0.774
spoIVA	yfkR	0.534
spoIVA	yfkQ	0.773
spoIVA	ylaK	0.529
spoIVA	ylbJ	0.749
spoIVA	ylmC	0.778
spoIVA	ymxH	0.516
spoIVA	spoVFA	0.587
spoIVA	spoVFB	0.711
spoIVA	tepA	0.683
spoIVA	yndD	0.761
spoIVA	ypeB	0.426
spoIVA	ytaF	0.424
spoIVA	usd	0.501
spoIVA	yqfC	0.446
spoIVA	ytfJ	0.764
spoIVA	spoVAF	0.773
spoIVA	spoVAEB	0.775
spoIVA	yqfD	0.77
spoIVA	spoIVB	0.779
spoIVA	spoVAD	0.778
spoIVA	spoVAC	0.781
spoIVA	spoVID	0.641
spoIVB	spoVT	0.774
spoIVB	yabP	0.773
spoIVB	yabS	0.486
spoIVB	yfkT	0.557
spoIVB	yfkR	0.648
spoIVB	yfkQ	0.774
spoIVB	yhbB	0.5
spoIVB	ylbD	0.592
spoIVB	ylbJ	0.767
spoIVB	ylmC	0.77
spoIVB	ymxH	0.673
spoIVB	spoVFA	0.662
spoIVB	spoVFB	0.703
spoIVB	tepA	0.828
spoIVB	ymfJ	0.516
spoIVB	yndD	0.776
spoIVB	ypeB	0.741
spoIVB	spoVAF	0.78
spoIVB	spoVAEB	0.789
spoIVB	spoVAD	0.805
spoIVB	spoVAC	0.808
spoIVB	ytlA	0.416
spoIVB	ytxC	0.46
spoIVB	spoVID	0.406
spoIVB	yyaC	0.527
spoIVB	ytaF	0.67
spoIVB	yqfC	0.723
spoIVB	yqfD	0.771
spoIVB	ytfJ	0.872
spoIVB	spoIVFA	0.678
spoIVFA	yaaC	0.631
spoIVFA	yabQ	0.772
spoIVFA	yabS	0.87
spoIVFA	yabT	0.827
spoIVFA	ydcC	0.783
spoIVFA	yhbB	0.63
spoIVFA	yheD	0.462
spoIVFA	spoVIF	0.676
spoIVFA	ylaJ	0.638
spoIVFA	ylaK	0.576
spoIVFA	ylbD	0.721
spoIVFA	ylbJ	0.486
spoIVFA	spoVFA	0.46
spoIVFA	yppC	0.584
spoIVFA	ypeB	0.706
spoIVFA	spoVAB	0.442
spoIVFA	spoVAA	0.496
spoIVFA	yqhR	0.774
spoIVFA	yqzD	0.482
spoIVFA	yqgE	0.755
spoIVFA	yqfX	0.766
spoIVFA	yqfQ	0.702
spoIVFA	yqfD	0.607
spoIVFA	yqfC	0.423
spoIVFA	yrzR	0.665
spoIVFA	yrzE	0.879
spoIVFA	ytxC	0.468
spoIVFA	ytfI	0.533
spoIVFA	yugN	0.646
spoIVFA	ytaF	0.668
spoIVFA	ytrH	0.703
spoIVFA	yutH	0.754
spoIVFA	ytrI	0.783
spoIVFA	ysxE	0.787
spoIVFA	spoVID	0.787
spoVAA	yabQ	0.585
spoVAA	yabS	0.616
spoVAA	yabT	0.504
spoVAA	yhcN	0.455
spoVAA	ylaJ	0.682
spoVAA	yppC	0.556
spoVAA	ypeB	0.575
spoVAA	spoVAF	0.806
spoVAA	spoVAEA	0.804
spoVAA	spoVAEB	0.808
spoVAA	spoVAD	0.864
spoVAA	spoVAC	0.847
spoVAA	spoVAB	0.966
spoVAA	ytrH	0.435
spoVAA	yqfX	0.455
spoVAA	spoVID	0.525
spoVAA	yugN	0.53
spoVAA	yqgE	0.663
spoVAB	yabQ	0.585
spoVAB	yabS	0.594
spoVAB	yabT	0.517
spoVAB	ydcC	0.422
spoVAB	ydfR	0.502
spoVAB	yhcN	0.577
spoVAB	ylaJ	0.694
spoVAB	yppC	0.493
spoVAB	ypeB	0.694
spoVAB	spoVAF	0.85
spoVAB	spoVAEA	0.901
spoVAB	spoVAEB	0.899
spoVAB	spoVAD	0.946
spoVAB	spoVAC	0.947
spoVAB	yugN	0.407
spoVAB	yqhR	0.417
spoVAB	ytrH	0.495
spoVAB	ythA	0.559
spoVAB	spoVID	0.48
spoVAB	yqfX	0.655
spoVAB	yqgE	0.687
spoVAC	spoVT	0.774
spoVAC	yabP	0.773
spoVAC	ydfR	0.559
spoVAC	yfkR	0.471
spoVAC	yfkQ	0.779
spoVAC	ylbJ	0.683
spoVAC	ylmC	0.807
spoVAC	ymxH	0.565
spoVAC	spoVFB	0.606
spoVAC	tepA	0.62
spoVAC	yndD	0.796
spoVAC	ypeB	0.528
spoVAC	spoVAF	0.963
spoVAC	spoVAEA	0.928
spoVAC	spoVAEB	0.914
spoVAC	spoVAD	0.987
spoVAC	yyaC	0.43
spoVAC	ythA	0.502
spoVAC	ytfJ	0.548
spoVAC	yqfD	0.662
spoVAD	spoVT	0.774
spoVAD	yabP	0.773
spoVAD	ydfR	0.649
spoVAD	yfkR	0.515
spoVAD	yfkQ	0.777
spoVAD	ylbJ	0.669
spoVAD	ylmC	0.771
spoVAD	spoVFB	0.568
spoVAD	tepA	0.679
spoVAD	yndD	0.785
spoVAD	ypeB	0.527
spoVAD	spoVAF	0.967
spoVAD	spoVAEA	0.937
spoVAD	spoVAEB	0.97
spoVAD	ytlA	0.402
spoVAD	ytaF	0.413
spoVAD	ytfJ	0.464
spoVAD	yyaC	0.439
spoVAD	ythA	0.523
spoVAD	yqfD	0.641
spoVAEA	ypeB	0.471
spoVAEA	spoVAF	0.918
spoVAEA	yqfC	0.443
spoVAEA	ytrH	0.551
spoVAEA	ytfI	0.635
spoVAEA	spoVAEB	0.81
spoVAEB	spoVT	0.78
spoVAEB	yabP	0.774
spoVAEB	ydfR	0.449
spoVAEB	yfkR	0.523
spoVAEB	yfkQ	0.774
spoVAEB	ylbJ	0.647
spoVAEB	ylmC	0.757
spoVAEB	spoVFB	0.613
spoVAEB	tepA	0.576
spoVAEB	yndD	0.768
spoVAEB	spoVAF	0.954
spoVAEB	ytfJ	0.471
spoVAEB	yqfD	0.616
spoVAF	spoVT	0.765
spoVAF	yabP	0.772
spoVAF	ydcC	0.599
spoVAF	yfkT	0.526
spoVAF	yfkR	0.605
spoVAF	ylbJ	0.666
spoVAF	ylmC	0.734
spoVAF	ymxH	0.451
spoVAF	spoVFA	0.576
spoVAF	spoVFB	0.691
spoVAF	ypeB	0.426
spoVAF	yqfC	0.593
spoVAF	ytaF	0.619
spoVAF	yqfD	0.695
spoVFA	spoVT	0.435
spoVFA	yabP	0.579
spoVFA	yitA	0.684
spoVFA	spoVIF	0.787
spoVFA	ylbD	0.693
spoVFA	ylbJ	0.568
spoVFA	ylmC	0.554
spoVFA	ymxH	0.621
spoVFA	ytrI	0.4
spoVFA	yqhR	0.423
spoVFA	tepA	0.435
spoVFA	yqfX	0.447
spoVFA	ymfJ	0.496
spoVFA	ytfJ	0.553
spoVFA	spsE	0.608
spoVFA	yqfD	0.597
spoVFA	ytlA	0.638
spoVFA	spoVID	0.613
spoVFA	yrzR	0.707
spoVFA	spsB	0.707
spoVFA	ytaF	0.723
spoVFA	ytcA	0.732
spoVFA	yqfQ	0.782
spoVFA	spoVFB	0.998
spoVFB	spoVT	0.682
spoVFB	yabP	0.648
spoVFB	yfkQ	0.653
spoVFB	yitA	0.715
spoVFB	spoVIF	0.706
spoVFB	ylbD	0.543
spoVFB	ylbE	0.505
spoVFB	ylmC	0.467
spoVFB	ymxH	0.54
spoVFB	ytaF	0.424
spoVFB	tepA	0.428
spoVFB	ymfJ	0.464
spoVFB	ywrJ	0.501
spoVFB	yqfD	0.485
spoVFB	yndD	0.514
spoVFB	ytlA	0.591
spoVFB	spsB	0.619
spoVFB	yqfQ	0.671
spoVFB	spsE	0.688
spoVFB	ytcA	0.718
spoVID	yaaC	0.712
spoVID	yabQ	0.772
spoVID	yabS	0.874
spoVID	yabT	0.774
spoVID	ydcC	0.754
spoVID	yhbB	0.714
spoVID	spoVR	0.426
spoVID	spoVIF	0.696
spoVID	ylaJ	0.464
spoVID	ylaK	0.522
spoVID	ylbD	0.74
spoVID	ylbJ	0.455
spoVID	yppC	0.62
spoVID	ypeB	0.684
spoVID	yqhR	0.778
spoVID	yqzD	0.64
spoVID	yqgE	0.75
spoVID	yqfX	0.779
spoVID	yqfQ	0.74
spoVID	yqfD	0.65
spoVID	yqfC	0.411
spoVID	yrzR	0.696
spoVID	yrzE	0.787
spoVID	ysxE	0.97
spoVID	ytxC	0.453
spoVID	ytfI	0.586
spoVID	ytrH	0.613
spoVID	ytfJ	0.656
spoVID	ytrI	0.767
spoVID	yutH	0.755
spoVIF	yabQ	0.669
spoVIF	yabS	0.608
spoVIF	yabT	0.533
spoVIF	ydcC	0.661
spoVIF	yhbB	0.491
spoVIF	yitA	0.502
spoVIF	yjbH	0.515
spoVIF	spsE	0.502
spoVIF	yqzD	0.54
spoVIF	yrzE	0.546
spoVIF	ytcA	0.619
